epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2551.03,1.9575,1.50538,1.15716,0.72788,0.38568,0.44506,0.21659,1.71339,1.09528,1.11298,0.000665721,0.000665721,0.000665721
2,4969.76,1.81709,1.13288,1.09257,0.74688,0.41023,0.47455,0.23249,1.68041,1.06059,1.10782,0.00130601,0.00130601,0.00130601
3,7155.32,1.77807,1.08123,1.08635,0.73985,0.43337,0.49087,0.24464,1.59702,1.05602,1.0826,0.00191989,0.00191989,0.00191989
4,2488.14,1.75538,1.04964,1.09044,0.77012,0.43285,0.50686,0.25502,1.59811,0.92162,1.09907,0.0018812,0.0018812,0.0018812
5,5149.06,1.71133,1.00417,1.07222,0.77121,0.45375,0.52637,0.26508,1.56957,0.89942,1.08715,0.0018416,0.0018416,0.0018416
6,7761.73,1.67331,0.96305,1.0599,0.78107,0.46074,0.53407,0.27732,1.54213,0.87893,1.08257,0.001802,0.001802,0.001802
7,10511.9,1.67342,0.95418,1.05923,0.78676,0.46886,0.54092,0.28523,1.50914,0.83248,1.07227,0.0017624,0.0017624,0.0017624
8,13071.9,1.66004,0.93752,1.05625,0.78587,0.45835,0.53408,0.27481,1.55563,0.86381,1.09611,0.0017228,0.0017228,0.0017228
9,15588.9,1.64803,0.92154,1.05524,0.79514,0.47614,0.55244,0.2907,1.49914,0.80512,1.06938,0.0016832,0.0016832,0.0016832
10,18105.2,1.63074,0.90025,1.04465,0.81155,0.46739,0.55197,0.29145,1.49536,0.78286,1.06727,0.0016436,0.0016436,0.0016436
11,20656.5,1.62831,0.89251,1.04002,0.80068,0.49091,0.56929,0.29681,1.46848,0.79068,1.05235,0.001604,0.001604,0.001604
12,23220.5,1.6107,0.88286,1.03977,0.79676,0.48648,0.56422,0.29884,1.4633,0.76938,1.05412,0.0015644,0.0015644,0.0015644
13,25795.8,1.61198,0.87899,1.03304,0.8039,0.49845,0.57674,0.30713,1.45196,0.76386,1.04761,0.0015248,0.0015248,0.0015248
14,28343.1,1.59991,0.86982,1.0321,0.8053,0.49398,0.57698,0.30818,1.43806,0.75042,1.04624,0.0014852,0.0014852,0.0014852
15,30856.2,1.58027,0.85232,1.03328,0.80914,0.49863,0.57987,0.30816,1.44421,0.74865,1.04576,0.0014456,0.0014456,0.0014456
16,33347.1,1.57121,0.84,1.02988,0.81401,0.49602,0.57816,0.31194,1.43455,0.73563,1.04049,0.001406,0.001406,0.001406
17,35875.7,1.56514,0.83594,1.02831,0.80768,0.50182,0.58497,0.31408,1.42977,0.72913,1.03892,0.0013664,0.0013664,0.0013664
18,38450.9,1.56659,0.83837,1.02366,0.80379,0.50627,0.58625,0.31297,1.42251,0.7322,1.03574,0.0013268,0.0013268,0.0013268
19,40962,1.55718,0.82531,1.02198,0.81068,0.51,0.59218,0.31848,1.4124,0.71828,1.03427,0.0012872,0.0012872,0.0012872
20,43531.4,1.54734,0.81847,1.02075,0.80399,0.51165,0.58967,0.31882,1.40979,0.71102,1.03132,0.0012476,0.0012476,0.0012476
21,46092.7,1.54581,0.81057,1.01786,0.8084,0.51767,0.59699,0.32329,1.40287,0.70552,1.02864,0.001208,0.001208,0.001208
22,48625.9,1.5385,0.80652,1.01746,0.81751,0.51216,0.59583,0.32185,1.40154,0.7041,1.02816,0.0011684,0.0011684,0.0011684
23,51140.4,1.52953,0.79788,1.01538,0.82367,0.51197,0.59708,0.32131,1.40657,0.70304,1.02796,0.0011288,0.0011288,0.0011288
24,53690.6,1.52547,0.79848,1.01191,0.82132,0.51817,0.60466,0.32941,1.39087,0.68627,1.02704,0.0010892,0.0010892,0.0010892
25,56253.6,1.52555,0.79603,1.01228,0.82002,0.52086,0.60414,0.32851,1.38575,0.685,1.0203,0.0010496,0.0010496,0.0010496
26,58813,1.52189,0.78694,1.00856,0.83149,0.51875,0.60723,0.33047,1.38151,0.6846,1.01909,0.00101,0.00101,0.00101
27,2501.33,1.51227,0.78381,1.00755,0.82694,0.52289,0.61168,0.33212,1.38847,0.68114,1.023,0.0009704,0.0009704,0.0009704
28,5028.02,1.50768,0.77964,1.00515,0.82901,0.52426,0.61256,0.3322,1.37896,0.67062,1.019,0.0009308,0.0009308,0.0009308
